1328;Er starb für dich;F;"Er starb für Dich,
Er starb für mich,
auf Golgatha.
Er starb für Dich,
Er starb für mich,
Halleluja.

Seine Hand zog heraus
mich aus Sünde,
Seine Hand zog heraus
mich aus Not.
Seine Hand voller
Liebe für Blinde
führt mich liebend
nach Hause zu Gott.

Er starb für Dich,
Er starb für mich,
auf Golgatha.
Er starb für Dich,
Er starb für mich,
Halleluja.

Diese Hand ward
geschlagen ans Kreuze,
diese Hand ward
durchstochen für mich.
Diese Hand musste
leiden die Qualen,
dass ich singen darf
nun ewiglich.

Er starb für Dich,
Er starb für mich,
auf Golgatha.
Er starb für Dich,
Er starb für mich,
Halleluja.

Diese Hand mit den
Malen der Nägel,
streckt sich liebend
nach dir heute aus.
Nimm die rettende
Hand deines Heilands,
diese Hand führt dich
sicher nach Haus.";
1330;Es gibt eine Heimat im himmlichen Licht;D;"Es gibt eine Heimat
im himmlischen Licht,
bereitet vom Heilande mein.
Und wenn Er mich rufet,
so weiß ich gewiss:
Ich werde kein Fremdling dort sein.

Chorus
O nein,
denn ich kenne den Heiland so gut,
Er ist ja auf Erden schon mein.
Und geh' in den Himmel ich ein
durch Sein Blut,
so werd' ich kein Fremdling dort sein.

Ich weiß, ob auch Menschen
mich selten versteh'n,
ob Freunde mich lassen allein,
wenn meinen Erlöser
ich droben werd' seh'n,
so werd' ich kein Fremdling dort sein.

Dort sind meine Lieben
am goldenen Strand,
umflossen vom himmlischen Schein.
Mit ihnen dort
wandle auch ich Hand in Hand.
Ich werde kein Fremdling dort sein.

O, Fremdling,
beim Heilande findest du Ruh',
Er wäschet von Sünde dich rein!
Komm heute zu Ihm,
und dann singest auch du:
Ich werde kein Fremdling dort sein.";
1331;Es gibt jemand der deine Lasten kennt;G;"Es gibt Jemand, der deine Lasten kennt,
Jemand, der dich Sein Kind nennt,
Jemand, der nie dich lässt allein.
Denn Er trug am Kreuze deine Last,
die du selbst getragen hast,
und Er wird immer bei dir sein.

Es ist Jesus, der deine Lasten kennt,
Jesus, der dich Sein Kind nennt,
Jesus, der nie dich lässt allein.
Denn Er trug am Kreuze deine Last,
die du selbst getragen hast,
und Er wird immer bei dir sein.";
1332;Es ist 'was gescheh'n, ich kann's nicht verstehn;C;"Es ist etwas gescheh'n,
ich kann's nun versteh´n: ein Wunder.
Ich sehe an mir das Leben aus Dir,
ein Wunder.
Es ist mir als hätt' ich den Himmel in mir,
ein Wunder. Was nie ich gedacht,
geschah über Nacht, ein Wunder.

Herr, Du bist mir nah,
weil etwas geschah, ein Wunder.
Denn Du liebst mich sehr,
was will ich noch mehr, ein Wunder.
Es ist mir als hätt' ich den Himmel in mir,
ein Wunder. Du hast über Nacht
ein Feuer entfacht, ein Wunder.

Jetzt leb' ich in Dir,
und Du lebst in mir, ein Wunder.
Das Alte verging, an dem ich so hing,
ein Wunder.
Es ist mir als hätt' ich den Himmel in mir,
ein Wunder. Was nie ich gedacht,
Du hast es vollbracht, ein Wunder.

Nun sprichst Du durch mich,
zu verherrlichen Dich, ein Wunder.
Die Menschen dann seh'n,
Dich auf Erden geh'n, ein Wunder.
Ich weiss es, es ist nun der Himmel in mir,
ein Wunder. Dein Wort hat's gesagt,
Du hast's offenbart, ein Wunder.";
1333;Es ist einer gekommen zu sterben für mich;D;entfernt;
1334;Es quillt für mich dies teure Blut;D;entfernt;
1335;Es steht ein Leuchtturm;C;entfernt;
1400;Everybody ought to / He's the lily / Wissen sollte;F;"Wissen sollte jeder Mann,
wissen sollte jede Frau,
wissen sollte jedes Kind,
wer Jesus ist.                (2x)
--------------------------------------------
Everybody ought to know,
Everybody ought to know,
Everybody ought to know,
Who Jesus is.                (2x)

Er, die Lilie im Tale,
Er, der helle Morgenstern,
Er, der Schönste von Zehntausend,
wer Ihn kennt, der hat Ihn gern.
---------------------------------------------------------
He`s the lily of the valley,
He`s the bright morningstar,
He`s the fairest of tenthousand,
Everybody ought to know.";
1415;Ewiger Vater;F;"Ewiger Vater,
Herrscher und König,
Schöpfer der ganzen Welt,
allmächtiger Gott.
Du bist der Heilige,
vollkommen Reine,
Herr über alles,
und doch nennst Du mich ""Freund"".";
1478;Fear not little flock / Only believe;C;"Fürchte nichts, kleine Herd',
von dem Kreuze zum Thron,
von dem Tode zum Leben ging einst Gottes Sohn.
Alle Macht in der Welt der Vater Ihm gab
für die Schar Seiner Kinder, die innig Er liebt.
---------------------------------------------------------------------------
Fear not little flock, from the cross to the throne,
From death into life He went for His own;
All power in earth, all power above,
Is given to Him for the flock of His love.

Chorus
Glaube nur, glaube nur!
Alles ist möglich, oh, glaube nur!
Glaube nur, glaube nur!
Alles ist möglich, oh, glaube nur!
----------------------------------------------------------
Only believe, only believe!
All things are possible, only believe!
Only believe, only believe!
All things are possible, only believe!

Fürchte nichts, kleine Herd', Er geht ja voran.
Dein Hirte zeigt dir, wo dein Fuß gehen kann,
Die Wasser von Mara macht süß Er, drum geh.
Er trank ja das Bittre in Gethsemane.
--------------------------------------------------------------------------
Fear not little flock, He goeth ahead.
Your shepherd selecteth the path you must tread.
The waters of Marah He'll sweeten for thee.
He drank all the bitter in Gethsemane.

Fürchte nichts, kleine Herd', was immer dein Los,
Er hilft dir aus Not, sie sei klein oder groß.
Er wird dich nicht lassen, o, gib nur recht acht,
und dich nicht verlassen bei Tag und bei Nacht.
--------------------------------------------------------------------------
Fear not little flock, whatever your lot,
He enters all rooms, ""The doors being shut"";
He never forsakes, He never is gone,
So count on His presence in darkness and dawn.

Chorus2
Glaube nur, glaube nur!
Alles ist möglich, oh, glaube nur!
Glaube nur, glaube nur!
Alles ist möglich, oh, glaube nur!
---------------------------------------------------------
Only believe, only believe!
All things are possible, only believe!
Only believe, only believe!
All things are possible, only believe!

Chorus3
Jesus ist hier, Jesus ist hier.
Alles ist möglich, weil Jesus ist hier.
Jesus ist hier, Jesus ist hier.
Alles ist möglich, weil Jesus ist hier.
-----------------------------------------------------------
Jesus is here, Jesus is here!
All things are possible, Jesus is here!
Jesus is here, Jesus is here!
All things are possible, Jesus is here!

Chorus4
Jetzt glaube ich, jetzt glaube ich.
Alles ist möglich, denn jetzt glaube ich.
Jetzt glaube ich, jetzt glaube ich.
Alles ist möglich, denn jetzt glaube ich.
--------------------------------------------------------------
Now I believe, now I believe!
All things are possible, now I believe!
Now I believe, now I believe!
All things are possible, now I believe!";
