1341;Esengo na ngai nyonso;;"Chorus
Esengo na ngai nyonso
Bolingo na Yesu.
Esengo na ngai nyonso
Kati na motema.

Mpo na ngai aniokolamaki
Mpo na ngai moto ya pamba
Mpo na ngai aniokolamaki
Solo, ezali mpo na ngai.

Mpo na ngai amonaki mpasi
Mpo na ngai moto ya pamba

Mpo na ngai Ye na Ekulusu
Mpo na ngai moto ya pamba

Mpo na ngai Ye akei na nkembo
Mpo na ngai moto ya pamba

Mpo na ngai Yesu akozonga
Mpo na ngai moto ya pamba";;
1342;Esika Ya Likolo;G;"Nazali na nzela'a lola,
Komataka se likolo;
Kosengaka se na Nkolo :
""Netola ngai na likolo.""

CHORUS
Netola ngai natelema
Na bondimi kuna likolo;
Mosika mingi koleka,
Nkolo mema ngai likolo

Motema eboi kozala,
Epai ya ntembe mpe nsomo;
Basusu bazala kuna,
Ngai nalingi se likolo.

Nakoma kino na suka,
Mpo ete namona nkembo;
Yambo ngai namona lola,
Nkolo mema ngai mosika.";© Public Domain;
1354;Etondi na bozwi;;"Etondi na bozwi mpe na bozindo,
Bolingo'a Nzambe,
Bolingo'a lisiko

CHORUS
Ya ngai,  Ya ngai,
Nabikisami na ngolu;
Ya ngai,  Ya ngai,
Bolingo'a lisiko.

Ebongwani te, eleki nyonso,
elimbolami te,
Bolingo'a Nzambe,
Bolingo'a lisiko.

Kitoko mingi, malamu mingi,
koyembelaka Mpate na Nzambe,
Bolingo'a lisiko.";;
1359;Etumba monene (TN 128);;"Etumba monene ebiangi biso
Yesu Klisto penza akei liboso.
Tika total Ye, toque mike be
Mpo na kolongaka na mabe
Nyonso.

Chorus
Kamata bendele, 
Na Nkolo Yesu, 
Ezali elembo na 
Elonga be.

Eyoki moyini, Nkombo ya
Yesu,
Akoumela te kokima mbangu.
Toyemba elongo, Nkombo na
Yesu.

Tokende na mpiko, nakosepela
Mokonzi na Nguya, akakembisa.
Bato na bolembo, bato na mpasi, 
Elonga ezali mpo na kondima.

Mokonzi monene, na bato
Nyonso
Biso tomipesi mobimba na Yo.
Lokumu, bilongo, na Nkolo
Yesu.
Awa na mokili mpe na likolo.";;
1426;Ezali lokola lola;;"Bato mingi basosoli te boni
Tozali nsomi, esengo!
Toleki Yodani, tokei Kanana,
Ezali lokola lola.

CHORUS
Ezali lokola lola (nkembo),
Mpo na ngai lokola lola;
Naleki Yodani, nakei Kanana,
Ezali lokola lola.

Ntango ya esengo ngai 
 nakoyemba,
Moyini akondima te;
Na ntembe te natondi 
 na Molimo,
Yango nde likambo na ngai.";© Public Domain;
1522;Fololo ya lobwaku;;"Na Yesu nazwi moninga,
Ye manso mpo na ngai,
Ye kitoko koleka nkoto zomi;
Ye Fololo ya lobwaku,
Na Ye nde ngai nazwi,
Bosenga ya bopetolami na ngai ;

Ye lisungi na mpasi,
Bopemi ya sôlo,
Asengi ngai natikela Ye manso (Aleluya)
Ye Fololo ya lobwaku,
Monzoto ya ntongo,
Ye kitoko koleka nkoto zomi.

Akamati mpasi na ngai,
Mpe ameni yango ;
Na masenginya Ye ebombamelo;
Mpo na Ye natiki manso,
Nabuki bikeko
Na motema, mpe Ye abateli ngai;

Mokili eboya ngai,
Satana ameka ngai,
Ná Yesu Klisto nakokoma suka (Aleluya)
Ye Fololo ya lobwaku,
Monzoto ya ntongo,
Ye kitoko koleka nkoto zomi.


Akotika ngai awa te,
Akokima ngai te,
Nandimi nasali mokano na Ye ;
Azingeli ngai na móto,
Mpe nakobanga te,
Na mana na Ye akoleisa ngai ;

Wana tokeyi na nkembo
Mpo na komona Ye,
Kuna ebale y’esengo etioli (Aleluya)
Ye Fololo ya lobwaku,
Monzoto ya ntongo,
Ye kitoko koleka nkoto zomi.";© Public Domain;
1856;Hakuna Rafiki kama Yesu;;"Hakuna Rafiki kama Yesu
Yesu tu, Yesu tu!
Wapi mwingine kutuokoa?
Yesu tu, Yesu tu! 

Chorus
Anajua mateso yetu,
Anapenda kutusaidia;
Hakuna rafiki kama Yesu,
Yesu tu, Yesu tu!

Yeye pekee ni Mutakatifu,
Yesu tu, Yesu tu!
Na vile Yeye Munyenyekevu,
Yesu tu, Yesu tu!

Nani karibu pahali pote?
Yesu tu, Yesu tu!
Nani anayetupenda wote?
Yesu tu, Yesu tu!

Alijitoa kwa zambi zetu,
Yesu tu, Yesu tu!
Na tutakuwa Naye mbinguni,
Yesu tu, Yesu tu!";© Public Domain;
3441;Ini NaJesu Wangu;;"Ini naJesu wangu
Takatenderana    
Ini naJesu wangu
Takatenderana 
Takatenderana 
Takatenderana 

Takapanana chitsitsidzo
Cheiko?
Chekuenda kudenga
Naniko?
Ini naJesu tatenderana

Kunyeya unogona
Takatenderana
Kutuka unogona
Takatenderana
Ko kunamata
Takatenderana

Takapanana chitsitsidzo
Cheiko?
Chekuenda kudenga
Naniko?
Ini naJesu tatenderana


Heiwena mukomana
Takatenderana
Heiwena musikana
Takatenderana
Wakamira papi
Takatenderana

Takapanana chitsitsidzo
Cheiko?
Chekuenda kudenga
Naniko?
Ini naJesu tatenderana

Naame naYesu gwange
(Twalizuva nare)
Naame naYesu gwange
(Twalizuva nare)
Twalizuva nare
(Twalizuva nare)

Twalipere tumbwidiro
(Sinke?)
Lokuzamo meguru
(Naliye?)
Name na Yesu
Twalizuva nare

Nna le Jeso wame
(Redumelane)
Nna le Jeso wame
(Redumelane)
Redumelane

Re solo fetsane
(Ka eng?)
Ka go ya Legodimong
(Le mang?)
Nna le Jeso
Re dumelane";
3720;Je suis délivré par le Seigneur;;"Je suis délivré par le Seigneur,
Je suis délivré par Sa Parole.
Auparavant j'étais lié par Satan,
Je suis délivré par le Seigneur. 
Auparavant j'étais lié par Satan,
Je suis délivré par le Seigneur. 

Nkolo Yesu abikisi ngai,
Abikisi ngai na liloba.
Kalakala nalandaki Satana,
Nkolo Yesu abikisi ngai.
Kalakala nalandaki Satana,
Nkolo Yesu abikisi ngai.";© Public Domain;
3760;Jeriko;;"Bana na Yisaele
Bakambami na Yawe
Bakatisi Yodani
Na likamwa ya Nzambe;
Epekiseli eyei,
N'ekuke ya Kanana,
Kotikisa esengo
Nde libanga Jeriko.

CHORUS
Jeriko! Jeriko! 
Boyemba na esengo!
Nzembo ekweisaka
Bitutu ya minene.

Bakatamaki ngenga,
Bamikabi na Nzambe,
Mpe limpinga ya lola
Ezalaki na bango;
Nzambe'alobi na Yosua:
""Mboka oyo'a masumu
Na babundi na yango
Ngai nakolonga na yo.""

Banso mpe batosaki
Mongongo ya kelelo,
Na Sanduku na Yawe
Bazingelaki mboka;
Na pwasa Yosua'alobi:
""Bonganga mpe makasi,
Yawe apesi biso
Mboka'oyo ya lofundu.""

Banso mpe bangangaki:
""Nkembo, Nzambe Molongi.""
Na lokito makasi
Bitutu bikweyaki;
Botosi nde kondima,
Nzambe alobi bongo.
Nzembo'a motema mpeto
Ekweisaka bitutu.";;
